father,node_name,depth
"Eye Infections, Fungal","Uveitis, Suppurative",4
Mycoses,Geotrichosis,3
Mycoses,Histoplasmosis,3
Mycoses,Invasive Fungal Infections,3
Invasive Fungal Infections,"Candidiasis, Invasive",4
Invasive Fungal Infections,Fungemia,4
Invasive Fungal Infections,Invasive Pulmonary Aspergillosis,4
Invasive Fungal Infections,Neuroaspergillosis,4
Mycoses,"Lung Diseases, Fungal",3
"Lung Diseases, Fungal",Blastomycosis,4
"Lung Diseases, Fungal","Pneumonia, Pneumocystis",4
Mycoses,Microsporidiosis,3
Microsporidiosis,Encephalitozoonosis,4
Mycoses,Otomycosis,3
Mycoses,Paracoccidioidomycosis,3
Mycoses,Phaeohyphomycosis,3
Phaeohyphomycosis,Cerebral Phaeohyphomycosis,4
Mycoses,Piedra,3
Mycoses,Pneumocystis Infections,3
Pneumocystis Infections,"Pneumonia, Pneumocystis",4
Mycoses,Trichosporonosis,3
Mycoses,Zygomycosis,3
Zygomycosis,Mucormycosis,4
Bacterial Infections and Mycoses,Zoonoses,2
Diseases,Virus Diseases,1
Virus Diseases,Arbovirus Infections,2
Arbovirus Infections,African Horse Sickness,3
Arbovirus Infections,Bluetongue,3
Arbovirus Infections,Dengue,3
Dengue,Severe Dengue,4
Arbovirus Infections,"Encephalitis, Arbovirus",3
"Encephalitis, Arbovirus","Encephalitis, California",4
"Encephalitis, Arbovirus","Encephalitis, Japanese",4
"Encephalitis, Arbovirus","Encephalitis, St. Louis",4
"Encephalitis, Arbovirus","Encephalitis, Tick-Borne",4
"Encephalitis, Arbovirus",West Nile Fever,4
Arbovirus Infections,"Encephalomyelitis, Equine",3
"Encephalomyelitis, Equine","Encephalomyelitis, Eastern Equine",4
"Encephalomyelitis, Equine","Encephalomyelitis, Venezuelan Equine",4
"Encephalomyelitis, Equine","Encephalomyelitis, Western Equine",4
Arbovirus Infections,Phlebotomus Fever,3
Arbovirus Infections,Rift Valley Fever,3
Arbovirus Infections,Tick-Borne Diseases,3
Tick-Borne Diseases,African Swine Fever,4
Tick-Borne Diseases,Colorado Tick Fever,4
Tick-Borne Diseases,"Encephalitis, Tick-Borne",4
Tick-Borne Diseases,"Hemorrhagic Fever, Crimean",4
Tick-Borne Diseases,"Hemorrhagic Fever, Omsk",4
Tick-Borne Diseases,Kyasanur Forest Disease,4
Tick-Borne Diseases,Nairobi Sheep Disease,4
Arbovirus Infections,Yellow Fever,3
Arbovirus Infections,Zika Virus Infection,3
Virus Diseases,"Bronchiolitis, Viral",2
Virus Diseases,Central Nervous System Viral Diseases,2
Central Nervous System Viral Diseases,"Encephalitis, Viral",3
"Encephalitis, Viral","Encephalitis, Arbovirus",4
"Encephalitis, Viral","Encephalitis, Herpes Simplex",4
"Encephalitis, Viral","Encephalitis, Varicella Zoster",4
"Encephalitis, Viral","Encephalomyelitis, Equine",4
"Encephalitis, Viral","Leukoencephalopathy, Progressive Multifocal",4
"Encephalitis, Viral",Subacute Sclerosing Panencephalitis,4
Central Nervous System Viral Diseases,"Meningitis, Viral",3
"Meningitis, Viral",Lymphocytic Choriomeningitis,4
Central Nervous System Viral Diseases,Pseudorabies,3
Virus Diseases,Coinfection,2
Virus Diseases,DNA Virus Infections,2
DNA Virus Infections,Adenoviridae Infections,3
Adenoviridae Infections,"Adenovirus Infections, Human",4
Adenoviridae Infections,"Hepatitis, Infectious Canine",4
DNA Virus Infections,African Swine Fever,3
DNA Virus Infections,Circoviridae Infections,3
Circoviridae Infections,Porcine Postweaning Multisystemic Wasting Syndrome,4
DNA Virus Infections,Hepadnaviridae Infections,3
Hepadnaviridae Infections,Hepatitis B,4
DNA Virus Infections,Herpesviridae Infections,3
Herpesviridae Infections,Bell Palsy,4
Herpesviridae Infections,Cytomegalovirus Infections,4
Herpesviridae Infections,"Encephalitis, Herpes Simplex",4
Herpesviridae Infections,Epstein-Barr Virus Infections,4
Herpesviridae Infections,Herpes Simplex,4
Herpesviridae Infections,Infectious Bovine Rhinotracheitis,4
Herpesviridae Infections,Malignant Catarrh,4
Herpesviridae Infections,Marek Disease,4
Herpesviridae Infections,Pseudorabies,4
Herpesviridae Infections,Roseolovirus Infections,4
Herpesviridae Infections,"Sarcoma, Kaposi",4
Herpesviridae Infections,Varicella Zoster Virus Infection,4
DNA Virus Infections,Papillomavirus Infections,3
Papillomavirus Infections,Warts,4
DNA Virus Infections,Parvoviridae Infections,3
Parvoviridae Infections,Aleutian Mink Disease,4
Parvoviridae Infections,Erythema Infectiosum,4
Parvoviridae Infections,Feline Panleukopenia,4
Parvoviridae Infections,Mink Viral Enteritis,4
DNA Virus Infections,Polyomavirus Infections,3
Polyomavirus Infections,"Carcinoma, Merkel Cell",4
Polyomavirus Infections,"Leukoencephalopathy, Progressive Multifocal",4
DNA Virus Infections,Poxviridae Infections,3
Poxviridae Infections,Cowpox,4
Poxviridae Infections,"Ecthyma, Contagious",4
Poxviridae Infections,"Ectromelia, Infectious",4
Poxviridae Infections,Fowlpox,4
Poxviridae Infections,Lumpy Skin Disease,4
Poxviridae Infections,Molluscum Contagiosum,4
Poxviridae Infections,Monkeypox,4
Poxviridae Infections,"Myxomatosis, Infectious",4
Poxviridae Infections,Smallpox,4
Poxviridae Infections,Vaccinia,4
Virus Diseases,"Encephalitis, Viral",2
"Encephalitis, Viral","Encephalitis, Arbovirus",3
"Encephalitis, Arbovirus","Encephalitis, California",4
"Encephalitis, Arbovirus","Encephalitis, Japanese",4
"Encephalitis, Arbovirus","Encephalitis, St. Louis",4
"Encephalitis, Arbovirus","Encephalitis, Tick-Borne",4
"Encephalitis, Arbovirus",West Nile Fever,4
"Encephalitis, Viral","Encephalitis, Herpes Simplex",3
"Encephalitis, Viral","Encephalitis, Varicella Zoster",3
"Encephalitis, Viral","Encephalomyelitis, Equine",3
"Encephalomyelitis, Equine","Encephalomyelitis, Eastern Equine",4
"Encephalomyelitis, Equine","Encephalomyelitis, Venezuelan Equine",4
"Encephalomyelitis, Equine","Encephalomyelitis, Western Equine",4
"Encephalitis, Viral","Leukoencephalopathy, Progressive Multifocal",3
"Encephalitis, Viral",Subacute Sclerosing Panencephalitis,3
Virus Diseases,"Eye Infections, Viral",2
"Eye Infections, Viral","Conjunctivitis, Viral",3
"Conjunctivitis, Viral","Conjunctivitis, Acute Hemorrhagic",4
"Eye Infections, Viral",Cytomegalovirus Retinitis,3
"Eye Infections, Viral",Herpes Zoster Ophthalmicus,3
"Eye Infections, Viral","Keratitis, Herpetic",3
"Keratitis, Herpetic","Keratitis, Dendritic",4
Virus Diseases,"Fatigue Syndrome, Chronic",2
Virus Diseases,"Hepatitis, Viral, Animal",2
"Hepatitis, Viral, Animal","Hepatitis, Infectious Canine",3
"Hepatitis, Viral, Animal",Rift Valley Fever,3
Virus Diseases,"Hepatitis, Viral, Human",2
"Hepatitis, Viral, Human",Hepatitis A,3
"Hepatitis, Viral, Human",Hepatitis B,3
Hepatitis B,"Hepatitis B, Chronic",4
"Hepatitis, Viral, Human",Hepatitis C,3
Hepatitis C,"Hepatitis C, Chronic",4
"Hepatitis, Viral, Human",Hepatitis D,3
Hepatitis D,"Hepatitis D, Chronic",4
"Hepatitis, Viral, Human",Hepatitis E,3
Virus Diseases,Opportunistic Infections,2
Opportunistic Infections,AIDS-Related Opportunistic Infections,3
Opportunistic Infections,Superinfection,3
Virus Diseases,"Pneumonia, Viral",2
Virus Diseases,RNA Virus Infections,2
RNA Virus Infections,Arenaviridae Infections,3
Arenaviridae Infections,"Hemorrhagic Fever, American",4
Arenaviridae Infections,Lassa Fever,4
Arenaviridae Infections,Lymphocytic Choriomeningitis,4
RNA Virus Infections,Astroviridae Infections,3
RNA Virus Infections,Birnaviridae Infections,3
RNA Virus Infections,Bunyaviridae Infections,3
Bunyaviridae Infections,"Encephalitis, California",4
Bunyaviridae Infections,Hantavirus Infections,4
Bunyaviridae Infections,"Hemorrhagic Fever, Crimean",4
Bunyaviridae Infections,Nairobi Sheep Disease,4
Bunyaviridae Infections,Phlebotomus Fever,4
Bunyaviridae Infections,Rift Valley Fever,4
RNA Virus Infections,Caliciviridae Infections,3
Caliciviridae Infections,Vesicular Exanthema of Swine,4
RNA Virus Infections,"Encephalitis, Arbovirus",3
"Encephalitis, Arbovirus","Encephalitis, California",4
"Encephalitis, Arbovirus","Encephalitis, Japanese",4
"Encephalitis, Arbovirus","Encephalitis, St. Louis",4
"Encephalitis, Arbovirus","Encephalitis, Tick-Borne",4
"Encephalitis, Arbovirus",West Nile Fever,4
RNA Virus Infections,Flaviviridae Infections,3
Flaviviridae Infections,Flavivirus Infections,4
Flaviviridae Infections,Hepatitis C,4
Flaviviridae Infections,Pestivirus Infections,4
RNA Virus Infections,"Hemorrhagic Fevers, Viral",3
"Hemorrhagic Fevers, Viral",Dengue,4
"Hemorrhagic Fevers, Viral",Hemorrhagic Fever with Renal Syndrome,4
"Hemorrhagic Fevers, Viral","Hemorrhagic Fever, American",4
"Hemorrhagic Fevers, Viral","Hemorrhagic Fever, Crimean",4
"Hemorrhagic Fevers, Viral","Hemorrhagic Fever, Ebola",4
"Hemorrhagic Fevers, Viral","Hemorrhagic Fever, Omsk",4
"Hemorrhagic Fevers, Viral",Kyasanur Forest Disease,4
"Hemorrhagic Fevers, Viral",Lassa Fever,4
"Hemorrhagic Fevers, Viral",Marburg Virus Disease,4
"Hemorrhagic Fevers, Viral",Rift Valley Fever,4
"Hemorrhagic Fevers, Viral",Yellow Fever,4
RNA Virus Infections,Hepatitis D,3
Hepatitis D,"Hepatitis D, Chronic",4
RNA Virus Infections,Hepatitis E,3
RNA Virus Infections,Mononegavirales Infections,3
Mononegavirales Infections,Borna Disease,4
Mononegavirales Infections,Filoviridae Infections,4
Mononegavirales Infections,Paramyxoviridae Infections,4
Mononegavirales Infections,Rhabdoviridae Infections,4
RNA Virus Infections,Nidovirales Infections,3
Nidovirales Infections,Arterivirus Infections,4
Nidovirales Infections,Coronaviridae Infections,4
RNA Virus Infections,Orthomyxoviridae Infections,3
Orthomyxoviridae Infections,Influenza in Birds,4
Orthomyxoviridae Infections,"Influenza, Human",4
RNA Virus Infections,Picornaviridae Infections,3
Picornaviridae Infections,Cardiovirus Infections,4
Picornaviridae Infections,Common Cold,4
Picornaviridae Infections,Enterovirus Infections,4
Picornaviridae Infections,Foot-and-Mouth Disease,4
RNA Virus Infections,Reoviridae Infections,3
Reoviridae Infections,African Horse Sickness,4
Reoviridae Infections,Bluetongue,4
Reoviridae Infections,Colorado Tick Fever,4
Reoviridae Infections,Rotavirus Infections,4
RNA Virus Infections,Retroviridae Infections,3
Retroviridae Infections,Avian Leukosis,4
Retroviridae Infections,Deltaretrovirus Infections,4
Retroviridae Infections,Lentivirus Infections,4
Retroviridae Infections,"Leukemia, Feline",4
Retroviridae Infections,Murine Acquired Immunodeficiency Syndrome,4
Retroviridae Infections,"Pulmonary Adenomatosis, Ovine",4
Retroviridae Infections,"Sarcoma, Avian",4
RNA Virus Infections,Togaviridae Infections,3
Togaviridae Infections,Alphavirus Infections,4
Togaviridae Infections,Rubivirus Infections,4
Virus Diseases,Sexually Transmitted Diseases,2
Sexually Transmitted Diseases,"Sexually Transmitted Diseases, Viral",3
"Sexually Transmitted Diseases, Viral",Condylomata Acuminata,4
"Sexually Transmitted Diseases, Viral",Herpes Genitalis,4
"Sexually Transmitted Diseases, Viral",HIV Infections,4
Virus Diseases,"Skin Diseases, Viral",2
"Skin Diseases, Viral",Erythema Infectiosum,3
"Skin Diseases, Viral",Exanthema Subitum,3
"Skin Diseases, Viral",Herpes Simplex,3
Herpes Simplex,Herpes Labialis,4
Herpes Simplex,Kaposi Varicelliform Eruption,4
"Skin Diseases, Viral",Molluscum Contagiosum,3
"Skin Diseases, Viral",Warts,3
Warts,Condylomata Acuminata,4
Warts,Epidermodysplasia Verruciformis,4
Virus Diseases,Slow Virus Diseases,2
Slow Virus Diseases,Acquired Immunodeficiency Syndrome,3
Slow Virus Diseases,AIDS-Related Complex,3
Slow Virus Diseases,Aleutian Mink Disease,3
Slow Virus Diseases,Equine Infectious Anemia,3
Slow Virus Diseases,Feline Acquired Immunodeficiency Syndrome,3
Slow Virus Diseases,"Leukoencephalopathy, Progressive Multifocal",3
Slow Virus Diseases,"Pneumonia, Progressive Interstitial, of Sheep",3
Slow Virus Diseases,Simian Acquired Immunodeficiency Syndrome,3
Slow Virus Diseases,Subacute Sclerosing Panencephalitis,3
Slow Virus Diseases,Visna,3
Virus Diseases,Tumor Virus Infections,2
Tumor Virus Infections,Avian Leukosis,3
Tumor Virus Infections,"Carcinoma, Merkel Cell",3
Tumor Virus Infections,Epstein-Barr Virus Infections,3
Epstein-Barr Virus Infections,Burkitt Lymphoma,4
Tumor Virus Infections,Marek Disease,3
Tumor Virus Infections,Murine Acquired Immunodeficiency Syndrome,3
Tumor Virus Infections,Papillomavirus Infections,3
Tumor Virus Infections,"Pulmonary Adenomatosis, Ovine",3
Tumor Virus Infections,"Sarcoma, Avian",3
Tumor Virus Infections,Warts,3
Warts,Condylomata Acuminata,4
Warts,Epidermodysplasia Verruciformis,4
Virus Diseases,Viremia,2
Virus Diseases,Zoonoses,2
Diseases,Parasitic Diseases,1
Parasitic Diseases,Central Nervous System Parasitic Infections,2
Central Nervous System Parasitic Infections,Central Nervous System Helminthiasis,3
Central Nervous System Helminthiasis,Neurocysticercosis,4
Central Nervous System Helminthiasis,Neuroschistosomiasis,4
Central Nervous System Parasitic Infections,Central Nervous System Protozoal Infections,3
Central Nervous System Protozoal Infections,"Malaria, Cerebral",4
Central Nervous System Protozoal Infections,"Toxoplasmosis, Cerebral",4
Parasitic Diseases,Coinfection,2
Parasitic Diseases,"Eye Infections, Parasitic",2
"Eye Infections, Parasitic",Acanthamoeba Keratitis,3
"Eye Infections, Parasitic","Onchocerciasis, Ocular",3
"Eye Infections, Parasitic","Toxoplasmosis, Ocular",3
Parasitic Diseases,Helminthiasis,2
Helminthiasis,Cestode Infections,3
Cestode Infections,Diphyllobothriasis,4
Cestode Infections,Echinococcosis,4
Cestode Infections,Hymenolepiasis,4
Cestode Infections,Monieziasis,4
Cestode Infections,Taeniasis,4
Helminthiasis,"Helminthiasis, Animal",3
"Helminthiasis, Animal",Dictyocaulus Infections,4
"Helminthiasis, Animal",Dirofilariasis,4
"Helminthiasis, Animal",Fascioloidiasis,4
"Helminthiasis, Animal",Monieziasis,4
"Helminthiasis, Animal",Setariasis,4
"Helminthiasis, Animal","Strongyle Infections, Equine",4
"Helminthiasis, Animal",Toxocariasis,4
Helminthiasis,Nematode Infections,3
Nematode Infections,Adenophorea Infections,4
Nematode Infections,Larva Migrans,4
Nematode Infections,Secernentea Infections,4
Helminthiasis,Trematode Infections,3
Trematode Infections,Clonorchiasis,4
Trematode Infections,Dicrocoeliasis,4
Trematode Infections,Echinostomiasis,4
Trematode Infections,Fascioliasis,4
Trematode Infections,Fascioloidiasis,4
Trematode Infections,Opisthorchiasis,4
Trematode Infections,Paragonimiasis,4
Trematode Infections,Schistosomiasis,4
Parasitic Diseases,"Intestinal Diseases, Parasitic",2
"Intestinal Diseases, Parasitic",Anisakiasis,3
"Intestinal Diseases, Parasitic",Balantidiasis,3
"Intestinal Diseases, Parasitic",Blastocystis Infections,3
"Intestinal Diseases, Parasitic",Cryptosporidiosis,3
"Intestinal Diseases, Parasitic",Dientamoebiasis,3
"Intestinal Diseases, Parasitic","Dysentery, Amebic",3
"Intestinal Diseases, Parasitic",Giardiasis,3
Parasitic Diseases,"Liver Diseases, Parasitic",2
"Liver Diseases, Parasitic","Echinococcosis, Hepatic",3
"Liver Diseases, Parasitic",Fascioliasis,3
"Liver Diseases, Parasitic","Liver Abscess, Amebic",3
Parasitic Diseases,"Lung Diseases, Parasitic",2
"Lung Diseases, Parasitic","Echinococcosis, Pulmonary",3
Parasitic Diseases,Mesomycetozoea Infections,2
Mesomycetozoea Infections,Rhinosporidiosis,3
Parasitic Diseases,Opportunistic Infections,2
Opportunistic Infections,AIDS-Related Opportunistic Infections,3
Opportunistic Infections,Superinfection,3
Parasitic Diseases,Parasitemia,2
Parasitic Diseases,"Parasitic Diseases, Animal",2
"Parasitic Diseases, Animal","Helminthiasis, Animal",3
"Helminthiasis, Animal",Dictyocaulus Infections,4
"Helminthiasis, Animal",Dirofilariasis,4
"Helminthiasis, Animal",Fascioloidiasis,4
"Helminthiasis, Animal",Monieziasis,4
"Helminthiasis, Animal",Setariasis,4
"Helminthiasis, Animal","Strongyle Infections, Equine",4
"Helminthiasis, Animal",Toxocariasis,4
"Parasitic Diseases, Animal","Protozoan Infections, Animal",3
"Protozoan Infections, Animal",Babesiosis,4
"Protozoan Infections, Animal",Cryptosporidiosis,4
"Protozoan Infections, Animal",Dourine,4
"Protozoan Infections, Animal",Theileriasis,4
"Protozoan Infections, Animal","Toxoplasmosis, Animal",4
"Protozoan Infections, Animal","Trypanosomiasis, Bovine",4
Parasitic Diseases,"Pregnancy Complications, Parasitic",2
Parasitic Diseases,Protozoan Infections,2
Protozoan Infections,Amebiasis,3
Amebiasis,Acanthamoeba Keratitis,4
Amebiasis,Blastocystis Infections,4
Amebiasis,"Dysentery, Amebic",4
Amebiasis,Entamoebiasis,4
Amebiasis,"Liver Abscess, Amebic",4
Protozoan Infections,Central Nervous System Protozoal Infections,3
Protozoan Infections,Ciliophora Infections,3
Ciliophora Infections,Balantidiasis,4
Protozoan Infections,Coccidiosis,3
Coccidiosis,Cryptosporidiosis,4
Coccidiosis,Cyclosporiasis,4
Coccidiosis,Isosporiasis,4
Coccidiosis,Sarcocystosis,4
Coccidiosis,Toxoplasmosis,4
Protozoan Infections,Dientamoebiasis,3
Protozoan Infections,Euglenozoa Infections,3
Euglenozoa Infections,Leishmaniasis,4
