title,abstract,features,authorlist 
Optimization of fixed-permeabilized cell monolayers for high throughput micro-neutralizing antibody assays: application to the zebrafish/viral hemorrhagic septicemia virus (vhsv) model.,"A new high throughput centrifugation-free method to estimate viral neutralizing antibody levels in low volumes and large numbers of plasma blood samples is described. Cell monolayers were, (i) plated on poly-d-Lys coated 96-wells, (ii) infected with viruses previously incubated with fish plasma containing antibodies, (iii) fixed with formaldehyde to increase cell recovery and avoid centrifugation steps, (iv) permeabilized with Saponin, (v) immunostained in the presence of Saponin by using a monoclonal antibody (MAb) to viral protein, (vi) digested with trypsin to detach cells from the monolayer, in the absence of Saponin to reduce damage of intracellular MAb-antigen complexes, and (vii) gated by flow cytometry using automatic 96-well batch analysis. The method was applied to the determination of plasma neutralizing antibodies from zebrafish (Danio rerio) surviving infections with viral hemorrhagic septicemia virus (VHSV) (an important rhabdovirus of salmonids). This semi-automatic, rapid and practical assay detected anti-VHSV neutralizing antibodies in the plasma (∼3 μl per fish) of 95.1% of the zebrafish surviving VHSV infections. The fixed-permeabilized monolayer (FIXPERM) micro-neutralization method might help to analyze sera/plasma from small fish under standarized high throughput conditions.","['Assay', 'Fixed-permeabilized monolayers', 'Highthroughput', 'Neutralizing antibodies', 'VHSV', 'Zebrafish']","['Blanca Chinchilla', 'Paloma Encinas', 'Amparo Estepa', 'Julio Coll', 'Eduardo Gomez-Casado']"
Generation and characterization of NV gene-knockout recombinant viral hemorrhagic septicemia virus (VHSV) genotype IVa.,"A recombinant viral hemorrhagic septicemia virus (rVHSV-deltaNV-EGFP) containing the enhanced green fluorescent protein (EGFP) gene instead of the NV gene was produced using the reverse-genetics method. For use as a positive control, another recombinant virus (rVHSV-wild) was also generated, which had an identical nucleotide sequence to the wild-type VHSV genome except for a few artificially replaced nucleotides. The rVHSVs were rescued using a system controlled by T7 RNA polymerase supplied by a retroviral vector. Generation of rVHSV-deltaNV-EGFP and rVHSV-wild was confirmed by sequencing of RT-PCR products, and rescue of infectious rVHSVs was confirmed by observation of plaque formation. Replication efficiency of rVHSV-wild was distinctly lower than that of wild-type VHSV, suggesting that the artificially replaced nucleotides, especially when immediately preceding the G or NV gene start codons, might affect the replication of the virus. Replication of rVHSV-deltaNV-EGFP was slightly lower than that of rVHSV-wild when epithelioma papulosum cyprini cells were infected with multiplicity of infection (MOI) 1.0, but much lower when cells were infected with MOI 0.00001. These results suggest that the NV gene plays an important role in VHSV replication through interactions with host-cell responses, and the lower replication ability of rVHSV-wild compared to wild-type VHSV might be caused by replaced nucleotides just before the NV gene open reading frame (ORF) rather than the G gene ORF. In olive flounder Paralichthys olivaceus, rVHSV-wild produced slower-progressing mortalities than wild-type VHSV, whereas rVHSV-deltaNV-EGFP pathogenesis was highly attenuated. These results suggest that the NV protein of VHSV may play an important role not only in viral replication but also in viral pathogenesis.",[],"['Min Sun Kim', 'Dong Soo Kim', 'Ki Hong Kim']"
Outbreak of viral haemorrhagic septicaemia (VHS) in lumpfish (Cyclopterus lumpus) in Iceland caused by VHS virus genotype IV.,"A novel viral haemorrhagic septicaemia virus (VHSV) of genotype IV was isolated from wild lumpfish (Cyclopterus lumpus), brought to a land-based farm in Iceland, to serve as broodfish. Two groups of lumpfish juveniles, kept in tanks in the same facility, got infected. The virus isolated was identified as VHSV by ELISA and real-time RT-PCR. Phylogenetic analysis, based on the glycoprotein (G) gene sequences, may indicate a novel subgroup of VHSV genotype IV. In controlled laboratory exposure studies with this new isolate, there was 3% survival in the I.P. injection challenged group while there was 90% survival in the immersion group. VHSV was not re-isolated from fish challenged by immersion. In a cohabitation trial, lumpfish infected I.P. (shedders) were placed in tanks with naïve lumpfish as well as naïve Atlantic salmon (Salmo salar L.). 10% of the lumpfish shedders and 43%-50% of the cohabiting lumpfish survived after 4 weeks. 80%-92% of the Atlantic salmon survived, but no viral RNA was detected by real-time RT-PCR nor VHSV was isolated from Atlantic salmon. This is the first isolation of a notifiable virus in Iceland and the first report of VHSV of genotype IV in European waters.","['Iceland', 'challenge models', 'genotype IV', 'lumpfish', 'viral haemorrhagic septicaemia virus (VHSV)']","['Sigríður Guðmundsdóttir', 'Niccoló Vendramin', 'Argelia Cuenca', 'Heiða Sigurðardóttir', 'Arni Kristmundsson', 'Tine Moesgaard Iburg', 'Niels Jørgen Olesen']"
Complete genome sequence of viral hemorrhagic septicemia virus isolated from an olive flounder in South Korea.,"Viral hemorrhagic septicemia virus (VHSV) is a seriously problematic pathogen in olive flounder (Paralichthys olivaceus) aquaculture farms in South Korea. Here, we report the complete genome sequence of VHSV which was isolated from spleen and kidney tissues of dead fish at an aquaculture farm in 2005. This genome sequence will be useful for virus diagnostics and in comparative analyses with other virus genotypes. ",[],"['Jong-Oh Kim', 'Wi-Sik Kim', 'Toyohiko Nishizawa', 'Myung-Joo Oh']"
Efficacy of intranasal vaccination of field buffaloes against haemorrhagic septicaemia with a live gdhA derivative Pasteurella multocida B:2.,"The efficacy of an intranasal haemorrhagic septicaemia vaccine containing live gdhA derivative Pasteurella multocida B:2 was tested in buffaloes in Sabah. Sixty buffaloes, kept grazing in the field with minimal human intervention were devided into three groups of 20 buffaloes per group. Buffaloes of group 1 were exposed intranasal to 5 ml vaccine containing 10(6) CFU/ml of live gdhA derivative P multocida B:2. Buffaloes of group 2 were not exposed to the vaccine but exposed to PBS and were allowed to commingle and graze in the same field as the buffaloes of group 1 while buffaloes of group 3 were similarly exposed to PBS and were grazing separately. Booster was on group 1, two weeks later. Twelve months after the first vaccination, three buffaloes from each group were brought into the experimental house and challenged subcutaneously with 10(9) CFU/ml of live wild-type P multocida B:2. All challenged buffaloes of groups 1 and 2 survived with only mild, transient signs while all control unvaccinated buffaloes developed severe signs of haemorrhagic septicaemia and were euthanased between 28 hours and 38 hours postchallenge with signs and lesions typical of haemorrhagic septicaemia. These data showed that the gdhA mutant strain, given intranasally as two doses two weeks apart, successfully induced systemic immunity in exposed buffaloes and also led to spread of vaccine strain to the in-contact animals, where it acted as an effective live vaccine to protect both exposed buffaloes and in-contact buffaloes against challenge with the virulent parent strain.",[],"['O Rafidah', 'M Zamri-Saad', 'S Shahirudin', 'E Nasip']"
Cell-mediated immune responses in rainbow trout after DNA immunization against the viral hemorrhagic septicemia virus.,"To identify viral proteins that induce cell-mediated cytotoxicity (CMC) against viral hemorrhagic septicemia virus (VHSV)-infected cells, rainbow trout were immunized with DNA vectors encoding the glycoprotein G or the nucleocapsid protein N of VHSV. The G protein was a more potent trigger of cytotoxic cells than the N protein. Peripheral blood leukocytes (PBL) isolated from trout immunized against the G protein killed both VHSV-infected MHC class I matched (RTG-2) and VHSV-infected xenogeneic (EPC) target cells, suggesting the involvement of both cytotoxic T lymphocytes (CTL) and NK cells, respectively. In contrast, PBL from trout that were immunized against the N protein only killed VHSV-infected RTG-2 cells, indicating that this protein only elicits a CTL response. Further, a significant killing capacity of these PBL was only observed during summer months. PBL from fish that were immunized against the VHSV G protein significantly killed VHSV-infected but not infectious hematopoietic necrosis virus (IHNV)-infected targets indicating antigen specificity. Thus, this is the first report on cytotoxic immune responses after DNA vaccination in fish. Furthermore, cells isolated from the inflamed site of DNA injection were stained and transferred to isogeneic DNA-vaccinated recipients. Most of the stained donor leukocytes accumulated at the recipients' DNA injection site showing, for the first time, leukocyte homing in fish. Transferred donor leukocytes mainly migrated to the homologous vaccine injection site rather than to injection sites of heterologous vaccines, suggesting the antigen specificity of homing. By demonstrating CMC responses to distinct viral proteins and homing in rainbow trout, these results substantially contribute to the understanding of the teleost immune system.",[],"['Katrin Utke', 'Holger Kock', 'Heike Schuetze', 'Sven M Bergmann', 'Niels Lorenzen', 'Katja Einer-Jensen', 'Bernd Köllner', 'Roy A Dalmo', 'Tomas Vesely', 'Mitsuru Ototake', 'Uwe Fischer']"
The role of viral hemorrhagic septicemia virus (VHSV) NV gene in TNF-α- and VHSV infection-mediated NF-κB activation.,"The role of viral hemorrhagic septicemia virus (VHSV) NV gene in nuclear factor-κB (NF-κB) activation was investigated. Epithelioma papulosum cyprini (EPC) cells pre-treated with tumor necrosis factor (TNF)-α showed a strong resistance against VHSV infection, but cells treated with TNF-α after VHSV infection showed no resistance, suggesting that immediate early TNF-α-mediated responses inhibit VHSV replication. Activation of NF-κB is a key step in TNF-α-mediated immunomodulatory pathways. In this study, activation of NF-κB by TNF-α exposure was inhibited in EPC cells harboring NV gene expressing vectors, indicating that the NV gene of VHSV can suppress TNF-α-mediated NF-κB activation. Furthermore, the NV gene knock-out recombinant VHSV (rVHSV-ΔNV-EGFP) induced significantly higher NF-κB activity in EPC cells than wild-type VHSV, suggesting that VHSV adopted a strategy to suppress early activation of NF-κB in host cells through and NV gene.",[],"['Min Sun Kim', 'Ki Hong Kim']"
[Preparation and characterization of monoclonal antibodies against viral hemorrhagic septicemia virus].,"To prepare the monoclonal antibody (mAb) against viral hemorrhagic septicemia virus (VHSV) and analyze the biological properties.The BALB/c mice were immunized with the VHSV which was purified by differential centrifugation. Spleen cells of the immune mice were collected and fused with Sp2/0 myeloma cells by hybridoma technology. The indirect ELISA was used to screen hyridoma cells and identify the specificity of mAb. The Western blotting was used to identify antigen site.After three cycle of subcloning with limited dilution method, we obtained a cell strain that secreted mAb against VHSV and was named 4A5. The indirect ELISA showed that the titer of mAb ascites was 10⁻⁴;. It belonged to IgG3 subclass κ chain and couldn't react with other fish viruses or fish cell lines in the ELISA except VHSV. Western blotting revealed that mAb 4A5 bound to a 70 kDa of protein band of VHSV as antigen.The obtained mAb has a high specificity, which could be used for rapid diagnosis and detection of VHSV in aquaculture.",[],"['Hongli Jing', 'Jingbo Wang', 'Huan Cao', 'Xiangmei Lin']"
A new StaRT-PCR approach to detect and quantify fish Viral Hemorrhagic Septicemia virus (VHSv): enhanced quality control with internal standards.,"Viral Hemorrhagic Septicemia virus (VHSv) causes one of the world's most important finfish diseases, killing >80 species across Eurasia and North America. A new and especially virulent strain (IVb) emerged in the North American Great Lakes in 2003, threatening fisheries, baitfish, and aquaculture industries. Weeks-long and costly cell culture is the OIE and USDA-APHIS approved diagnostic. A new Standardized Reverse Transcriptase Polymerase Chain Reaction (StaRT-PCR) assay that uniquely incorporates internal standards to improve accuracy and prevent false negatives was developed and evaluated for its ability to detect and quantify VHSv. Results from StaRT-PCR, SYBR(®) green real time qRT-PCR, and cell culture were compared, as well as the effects of potential PCR inhibitors (EDTA and high RNA). Findings show that StaRT-PCR is sensitive, detecting a single molecule, with 100% accuracy at six molecules, and had no false negatives. In comparison, false negatives ranged from 14 to 47% in SYBR(®) green real time qRT-PCR tests, and 47-70% with cell culture. StaRT-PCR uniquely controlled for EDTA and RNA interference. Range of VHSv quantitation by StaRT-PCR was 1.0×10(0)-1.2×10(5) VHSv/10(6)actb1 molecules in wild caught fishes and 1.0×10(0)-8.4×10(5) molecules in laboratory challenged specimens. In the latter experiments, muskellunge with skin lesions had significantly more viral molecules (mean=1.9×10(4)) than those without (1.1×10(3)) (p<0.04). VHSv infection was detected earlier in injection than in immersion challenged yellow perch (two versus three days), with molecule numbers in both being comparable and relatively consistent over the remaining course of the experiment. Our results show that the StaRT-PCR test accurately and reliably detects and quantifies VHSv.",[],"['Lindsey R Pierce', 'James C Willey', 'Erin L Crawford', 'Vrushalee V Palsule', 'Douglas W Leaman', 'Mohamed Faisal', 'Robert K Kim', 'Brian S Shepherd', 'Lauren M Stanoszek', 'Carol A Stepien']"
Inter-species transmission of viral hemorrhagic septicemia virus (VHSV) from turbot (Scophthalmus maximus) to rainbow trout (Onchorhynchus mykiss).,"Successful viral infection is a complex mechanism, involving many host-pathogen interactions that developed during coevolution of host and pathogen, and often result in host-species specificity. Nevertheless, many viruses are able to infect several host species and sporadically cross species barriers. The viral hemorrhagic septicemia virus (VHSV), a rhabdovirus with high economic impact on the aquaculture industry, has developed an exceptionally wide host range across marine and freshwater environments. Transmission of VHSV between host species therefore represents a potential risk for aquaculture, which currently is not addressed in biosecurity managements. The objective of this study was to investigate the inter-species transmission potential of VHSV and evaluate whether infected marine wild fish pose a potential risk on marine cultured rainbow trout. A cohabitation infection trial with turbot as donor and rainbow trout as recipient host species was conducted. Turbot were intraperitoneally injected with either a marine-adapted (MA) or a trout-adapted (TA) VHSV isolate and subsequently grouped with naïve rainbow trout. Both VHSV isolates were able to replicate and cause mortality in turbot, while only the TA isolate was able to cross the species barrier and infect rainbow trout with fatal outcome. The results demonstrate that a marine fish species can function as reservoir and transmitter of TA VHSV isolates.",[],"['Anna A Schönherz', 'Niels Lorenzen', 'Katja Einer-Jensen']"
Fin and gill biopsies are effective nonlethal samples for detection of viral hemorrhagic septicemia virus genotype IVb.,"Nonlethal sampling is becoming a common method to diagnose fish diseases, especially with the availability of molecular testing. Viral hemorrhagic septicemia virus (VHSV) is a viral pathogen of finfish distributed worldwide. Although VHSV has been known to occur in some parts of the world for decades, a new genotype, IVb, recently emerged in the Laurentian Great Lakes of northeastern North America. Golden shiners (Notemigonus crysoleucas; Mitchill, 1814) and fathead minnows (Pimephales promelas; Rafinesque, 1820) were exposed to VHSV-IVb doses between 10(2) and 10(6) plaque forming units per fish by intraperitoneal injection at 10°C. Both species experienced significant mortality after exposure, ranging from 38% to 52% in golden shiners and from 35% to 95% in fathead minnows. In golden shiners, a fin or gill sample was somewhat less sensitive at detecting VHSV-IVb by quantitative reverse transcription polymerase chain reaction (qRT-PCR) than a pooled organ sample (consisting of liver, anterior and posterior kidney, spleen, and heart), however the relative sensitivity increased when a fin and gill sample were tested in parallel. In fathead minnows, a fin or gill sample tested alone or in parallel was relatively more sensitive than a pooled organ sample by qRT-PCR. Specificity was 100% for all sample types in both species. The results suggest that fin and gill biopsies are useful tools to test for VHSV in live fish.",[],"['Emily R Cornwell', 'Chelsea A Bellmund', 'Geoffrey H Groocock', 'Po Ting Wong', 'Katherine L Hambury', 'Rodman G Getchell', 'Paul R Bowser']"
Inhibition of viral hemorrhagic septicemia virus replication using a short hairpin RNA targeting the G gene.,"RNA interference (RNAi), a mechanism for post-transcriptional silencing of homologous genes by double-stranded RNA (dsRNA), has emerged as an antiviral strategy in animals. In this study, the epithelioma papulosum cyprini (EPC) cell line, in combination with a fugu-U6-promoter-driven shRNA construct designed against G gene, was used to investigate whether short hairpin RNA (shRNA) could inhibit viral hemorrhagic septicemia virus (VHSV) proliferation by sequence-specific RNAi. The results showed that transfection with a shRNA-producing construct (shRNA-VG594) resulted in a sequence-specific knockdown of G gene mRNA in EPC cells. There were no significant differences in IFN-induced Mx1 gene expression among cells transfected with each shRNA vector including shRNA-VG594, -VG594sc (two nucleotides mismatch) and -EGFP (non-specific control), suggesting that knockdown of G gene expression was not due to an IFN response but instead by sequence-specific RNAi. Transfection of EPC cells with shRNA-VG594 conferred resistance to VHSV, and this anti-VHSV effect was not observed when using a two-nucleotide-mismatched shRNA-VG594sc or a shRNA targeting EGFP. Furthermore, shRNA-VG594 expressed in EPC cells did not confer protection against infectious hematopoietic necrosis virus (IHNV), suggesting sequence-specific RNAi-dependent suppression of viral replication.",[],"['Min Sun Kim', 'Ki Hong Kim']"
Comparison of treatments to inactivate viral hemorrhagic septicemia virus (VHSV-IVb) in frozen baitfish.,"Current US state and federal fish health regulations target the spread of viral hemorrhagic septicemia virus-IVb (VHSV-IVb) through movement restrictions of live fish; however, they largely ignore the potential for the virus to be spread through commercial distribution and use of frozen baitfish from VHSV-IVb-positive regions. Some state laws do require treatment of frozen baitfish to inactivate VHSV, and additional methods have been proposed, but few scientific studies have examined the efficacy of these treatments. In this study, bluegills Lepomis macrochirus were challenged with VHSV-IVb and frozen to represent standard industry methods, disinfected by various treatments, and tested for infectious VHSV-IVb using virus isolation. The virus was isolated from 70% of fish subjected to 3 freeze/thaw cycles. All other treatment methods were effective in inactivating the virus, including treatment with isopropyl alcohol, mineral oil, salt and borax, and dehydration. Dehydration followed by rehydration is rapid and effective, and therefore, seems to be the best option for inactivating VHSV-IVb present in frozen baitfish while maintaining their usefulness as bait.",[],"['Nicholas B D Phelps', 'Andrew E Goodwin', 'Emily Marecaux', 'Sagar M Goyal']"
Variable domain antibodies specific for viral hemorrhagic septicemia virus (VHSV) selected from a randomized IgNAR phage display library.,"Phage display libraries are used to screen for nucleotide sequences that encode immunoglobulin variable (V) regions that are specific for a target antigen. We previously constructed an immunoglobulin new antigen receptor (IgNAR) phage display library. Here we used this library to obtain an IgNAR V region that is specific for viral hemorrhagic septicemia virus (VHSV). A phage clone (clone 653) was found to be specific for VHSV by the biopanning method. The V region of clone 653 was used to construct a 6 × His tagged recombinant IgNAR-653 V protein (rIgNAR-653) using the Escherichia coli pET system. The rIgNAR-653 protein bound specifically to VHSV, confirming its activity.",[],"['Maki Ohtani', 'Jun-ichi Hikima', 'Tae-Sung Jung', 'Hidehiro Kondo', 'Ikuo Hirono', 'Haruko Takeyama', 'Takashi Aoki']"
The use of a one-step real-time reverse transcription polymerase chain reaction (rRT-PCR) for the surveillance of viral hemorrhagic septicemia virus (VHSV) in Minnesota.,"Viral hemorrhagic septicemia virus (VHSV) is a highly contagious and pathogenic virus of fish. The virus infects more than 70 fish species worldwide, in both fresh and salt water. A new viral strain (VHSV-IVb) has proven both virulent and persistent, spreading throughout the Great Lakes of North America and to inland water bodies in the region. To better understand the geographic distribution of the virus, we used a modified real-time reverse transcription polymerase chain reaction (rRT-PCR) assay for high-throughput testing of fish for VHSV. The assay was shown to be twice as sensitive as the gold standard, virus isolation, and did not cross react with other viruses found in fish. In addition, the diagnostic turnaround time was reduced from 28 to 30 d for virus isolation to 2-4 d for rRT-PCR. To demonstrate the usefulness of the rRT-PCR assay, 115 high-priority water bodies in Minnesota were tested by both methods from April 2010 to June 2011. All survey sites tested negative for VHSV by both methods. The survey results have informed fisheries managers on the absence of VHSV in Minnesota and have better prepared them for the eventual arrival of the disease. In addition, the results demonstrate the value of this rRT-PCR as a surveillance tool to rapidly identify an outbreak so that it can be controlled in a timely manner.",[],"['Nicholas B D Phelps', 'Devi P Patnayak', 'Yin Jiang', 'Sagar M Goyal']"
Typing of viral hemorrhagic septicemia virus by monoclonal antibodies.,"Seven mAbs with specific reaction patterns against each of the four genotypes and eight subtypes of viral hemorrhagic septicemia virus (VHSV) were produced, aiming to establish an immunoassay for typing VHSV isolates according to their genotype. Among the mAbs, VHS-1.24 reacted with all genotypes except genotype Ie, whilst mAb VHS-9.23 reacted with all genotypes except genotype III. mAb VHS-3.80 reacted with genotypes Ib, Ic, Id and II. mAb VHS-7.57 reacted with genotypes II and IVa, and mAb VHS-5.18 with genotype Ib only. Interestingly, mAb VHS-3.75 reacted with all of the genotype III isolates except a rainbow trout-pathogenic isolate from the west coast of Norway, and reacted in addition with the IVb isolate, CA-NB00-01, from the east coast of the USA. Finally, mAb VHS-1.88 reacted with all genotype IVb isolates from the Great Lakes, but not with CA-NB00-01. In conclusion, we can distinguish between all four genotypes and between five of eight subtypes of VHSV by testing isolates in immunoassay using a panel of nine mAbs. By Western blotting and transfection of cell cultures, it was shown that mAb VHS-1.24 recognized an epitope on the viral phosphoprotein (P), whilst all others recognized antigenic determinants on the nucleoprotein (N). From amino acid alignments of the various genotypes and subtypes of VHSV isolates, it was possible to determine the epitope specificity of mAb VHS-1.24 to be aa 32-34 in the P-protein; the specificities of mAbs VHS-3.80, VHS-7.57 and VHS-3.75 were found to be aa 43 and 45-48, aa 117 and 121, and aa 103, 118 and 121 of the N-protein, respectively.",[],"['Takafumi Ito', 'Jun Kurita', 'Motohiko Sano', 'Helle Frank Skall', 'Niels Lorenzen', 'Katja Einer-Jensen', 'Niels Jørgen Olesen']"
cDNA microarray analysis of disk abalone genes in gills and hemocytes after viral hemorrhagic septicemia virus (VHSV) challenge.,"A disk abalone Haliotis discus discus 4.2 K cDNA microarray was designed by selecting abalone expressed sequence tags (ESTs). Transcriptional profiles in gills and hemocytes were analyzed upon abalone challenged with viral hemorrhagic septicemia virus (VHSV) in order to select candidates for screening of immune response genes. Among the 4188 genes analyzed, 280 (6.6%) transcripts were changed their expression level in gills and hemocytes against VHSV challenge compared to control animals. Total of 88 and 65 genes were up-regulated in gills and hemocytes, respectively. These genes can be grouped under various immune-functional categories such as transcription factors (Krüppell-like factor; ETS-family transcription factor), inflammatory and apoptosis related genes (TNF superfamily members, Fas ligand), IFN regulatory proteins (IFN-44 like, interferon gamma-inducible lysosomal thiol reductase) and detoxification proteins (glutathione peroxidase). In contrast, 25 and 102 genes were shown down-regulation in gills and hemocytes, respectively. Among the differentially expressed transcripts, considerably higher numbers of ESTs were represented as either hypothetical (unknown) proteins or no GenBank match suggesting those may be novel genes associated with internal defense of abalone.",[],"['Mahanama De Zoysa', 'Chamilani Nikapitiya', 'Chulhong Oh', 'Ilson Whang', 'Hyun-Jin Shin', 'Jehee Lee']"
Evolution and biogeography of an emerging quasispecies: diversity patterns of the fish Viral Hemorrhagic Septicemia virus (VHSv).,"Viral Hemorrhagic Septicemia virus (VHSv) is an RNA rhabdovirus that causes one of the most important finfish diseases, affecting over 70 marine and freshwater species. It was discovered in European cultured fish in 1938 and since has been described across the Northern Hemisphere. Four strains and several substrains have been hypothesized, whose phylogenetic relationships and evolutionary radiation are evaluated here in light of a quasispecies model, including an in-depth analysis of the novel and especially virulent new substrain (IVb) that first appeared in the North American Laurentian Great Lakes in 2003. We analyze the evolutionary patterns, genetic diversity, and biogeography of VHSv using all available RNA sequences from the glycoprotein (G), nucleoprotein (N), and non-virion (Nv) genes, with Maximum Likelihood and bayesian approaches. Results indicate that the G gene evolves at an estimated rate of μ=2.58×10(-4) nucleotide substitutions per site per year, the N gene at μ=4.26×10(-4), and Nv fastest at μ=1.25×10(-3). Phylogenetic trees from the three genes largely are congruent, distinguishing strains I-IV as reciprocally monophyletic with high bootstrap and posterior probability support. VHSv appears to have originated from a marine ancestor in the North Atlantic Ocean, diverging into two primary clades: strain IV in North America (the Northwestern Atlantic Ocean), and strains I-III in the Northeastern Atlantic region (Europe). Strain II may comprise the basal group of the latter clade and diverged in Baltic Sea estuarine waters; strains I and III appear to be sister groups (according to the G and Nv genes), with the former mostly in European freshwaters and the latter in North Sea marine/estuarine waters. Strain IV is differentiated into three monophyletic substrains, with IVa infecting Northeastern Pacific salmonids and many marine fishes (with 44 unique G gene haplotypes), IVb endemic to the freshwater Great Lakes (11 haplotypes), and a newly-designated IVc in marine/estuarine North Atlantic waters (five haplotypes). Two separate substrains independently appeared in the Northwestern Pacific region (Asia) in 1996, with Ib originating from the west and IVa from the east. Our results depict an evolutionary history of relatively rapid population diversifications in star-like patterns, following a quasispecies model. This study provides a baseline for future tracking of VHSv spread and interpreting its evolutionary diversification pathways.",[],"['Lindsey R Pierce', 'Carol A Stepien']"
"Heterogeneity in levels of serum neutralizing antibodies against viral hemorrhagic septicemia virus genotype IVB among fish species in Lake St. Clair, Michigan, USA.","The presence of neutralizing antibodies against viral hemorrhagic septicemia virus (VHSV-IVb) was investigated in sera of 13 fish species collected from Lake St. Clair, Michigan, USA, a VHSV-endemic water body. We tested 297 sera collected May 2004-June of 2010, using a complement-dependent 50% plaque neutralization test (50% PNT). Neutralizing antibodies were detected in 23% (67/297) of the samples. The highest overall antibody prevalence (85%, 34/40) and mean positive antibody titer (12,113 ± 11,699 SD) were detected in muskellunge (Esox masquinongy). Antibodies were also detected in 50% (15/30) of sampled northern pike (E. lucius), 25% (15/61) of freshwater drum (Aplodinotus grunniens), and 7% (3/41) of smallmouth bass (Micropterus dolomieu). All sera from channel catfish (Ictalurus punctatus), lake sturgeon (Acipenser fulvescens), quillback (Carpiodes cyprinus), rock bass (Ambloplites rupestris), shorthead redhorse (Moxostoma macrolepidotum), silver redhorse (M. anisurum), walleye (Sander vitreus), white perch (Morone americana), and yellow perch (Perca flavescens) were negative. Antibodies in one or more fish species were detected in all sampling years (2004, 2006, 2007, 2009, and 2010), whereas in parallel sampling periods, VHS virus was detected only in 2006 and 2009. Our results suggest the continued presence of VHSV-IVb in the Lake St. Clair ecosystem, and underscore the importance of assessing immune responses of fish populations to determine prior virus exposure.",[],"['Elena V Millard', 'Mohamed Faisal']"
Distribution of an invasive aquatic pathogen (viral hemorrhagic septicemia virus) in the Great Lakes and its relationship to shipping.,"Viral hemorrhagic septicemia virus (VHSV) is a rhabdovirus found in fish from oceans of the northern hemisphere and freshwaters of Europe. It has caused extensive losses of cultured and wild fish and has become established in the North American Great Lakes. Large die-offs of wild fish in the Great Lakes due to VHSV have alarmed the public and provoked government attention on the introduction and spread of aquatic animal pathogens in freshwaters. We investigated the relations between VHSV dispersion and shipping and boating activity in the Great Lakes by sampling fish and water at sites that were commercial shipping harbors, recreational boating centers, and open shorelines. Fish and water samples were individually analyzed for VHSV using quantitative reverse transcription-polymerase chain reaction (qRT-PCR) and cell culture assays. Of 1,221 fish of 17 species, 55 were VHSV positive with highly varied qRT-PCR titers (1 to 5,950,000 N gene copies). The detections of VHSV in fish and water samples were closely associated and the virus was detected in 21 of 30 sites sampled. The occurrence of VHSV was not related to type of site or shipping related invasion hotspots. Our results indicate that VHSV is widely dispersed in the Great Lakes and is both an enzootic and epizootic pathogen. We demonstrate that pathogen distribution information could be developed quickly and is clearly needed for aquatic ecosystem conservation, management of affected populations, and informed regulation of the worldwide trade of aquatic organisms.",[],"['Mark B Bain', 'Emily R Cornwell', 'Kristine M Hope', 'Geofrey E Eckerlin', 'Rufina N Casey', 'Geoffrey H Groocock', 'Rodman G Getchell', 'Paul R Bowser', 'James R Winton', 'William N Batts', 'Allegra Cangelosi', 'James W Casey']"
Susceptibility of three stocks of pacific herring to viral hemorrhagic septicemia.,"Laboratory challenges using specific-pathogen-free Pacific herring Clupea pallasii from three distinct populations indicated that stock origin had no effect on susceptibility to viral hemorrhagic septicemia (VHS). All of the populations were highly susceptible to the disease upon initial exposure, with significantly greater cumulative mortalities occurring in the exposed treatment groups (56.3-64.3%) than in the unexposed control groups (0.8-9.0%). Interstock differences in cumulative mortality were not significant. The virus loads in the tissues of fish experiencing mortality were 10-10,000 times higher during the acute phase of the epizootics (day 13 postexposure) than during the recovery phase (days 30-42). Survivors of the epizootics were refractory to subsequent VHS, with reexposure of VHS survivors resulting in significantly less cumulative mortality (1.2-4.0%) than among positive controls (38.1-64.4%); interstock differences in susceptibility did not occur after reexposure. These results indicate that data from experiments designed to understand the ecology of VHS virus in a given stock of Pacific herring are broadly applicable to stocks throughout the northeastern Pacific.",[],"['P K Hershberger', 'J L Gregg', 'C A Grady', 'R M Collins', 'J R Winton']"
